outflow,temp,(pH(-)),BOD,COD,SS,T-N,T-P,Escherichia coli
1794,11.7,6.66,1.1,5.7,3.3,10.636,0.062,32
1433,11.4,6.93,1.8,5.9,2.3,8.909,0.059,26
1834,11.6,6.98,0.8,5.7,5.7,5.215,0.08,29
1532,10.9,7.08,1.6,7.3,3.7,4.75,0.113,34
1363,12.1,6.9,1.4,6.3,2,4.93,0.063,32
1480,10.7,6.36,0.9,6.8,2.6,3.09,0.042,35
1432,12.9,6.72,1.5,6.7,2.7,3.09,0.042,31
1319,10,7.04,0.6,6.2,3.3,3.51,0.032,27
1426,10.9,6.87,1.5,7,3.7,2.966,0.047,27
1558,12,7.01,1.5,6.7,2.7,3.838,0.037,25
1680,11.1,7.07,1.2,6.7,4.3,3.643,0.072,26
1736,11.5,7.06,1.4,7.2,3,3.752,0.048,30
1719,12,6.81,0.8,6.9,0.3,4.062,0.052,29
1568,12.4,7.02,1.5,6.6,0.7,9.948,0.07,30
1577,12.1,6.78,2,8,3.2,12.501,0.038,33
1695,12.6,7.06,2.7,7.2,2.7,8.324,0.038,32
1560,11.1,6.67,0.8,7.9,4,5.701,0.034,31
1095,12.5,7.12,0.8,8.1,6.7,3.125,0.078,31
1065,12.7,6.94,0.4,8.3,2,3.756,0.067,30
1365,12.6,7.07,0.9,8.5,5.3,3.866,0.082,35
1084,13,6.71,0.8,8,4.7,3.522,0.054,30
1330,13.1,6.7,1.4,8,2.3,5.46,0.044,26
1116,13.2,6.97,1.6,8.5,4,9.247,0.04,22
1140,13.3,7.01,1.2,9.3,4.3,8.247,0.049,23
1370,13.5,7.23,3.6,7.8,3.3,4.646,0.057,23
1091,13.4,6.92,0.6,8.7,3.7,4.002,0.067,31
1236,13.3,7.07,1.1,9.1,5.7,5.495,0.135,32
1264,13.4,7.12,1,8.2,3,6.169,0.121,34
1090,13.3,7.12,1,8.3,3,5.732,0.083,34
1450,13.2,7.47,1,7.8,2.7,9.534,0.151,31
1226,13.1,7.22,0.9,7.5,5.3,7.811,0.126,23
1232,13.6,7.16,1.1,8.3,4,5.12,0.118,22
